 1: 4450.106934, 4450.106934 avg loss, 0.000000 rate, 12.732000 seconds, 64 images
 2: 4438.232422, 4448.919434 avg loss, 0.000000 rate, 12.903000 seconds, 128 images
 3: 4471.797363, 4451.207031 avg loss, 0.000000 rate, 12.732000 seconds, 192 images
 4: 4459.312988, 4452.017578 avg loss, 0.000000 rate, 12.809000 seconds, 256 images
 5: 4454.894531, 4452.305176 avg loss, 0.000000 rate, 12.669000 seconds, 320 images
 6: 4476.629395, 4454.737793 avg loss, 0.000000 rate, 13.013000 seconds, 384 images
 7: 4452.562500, 4454.520508 avg loss, 0.000000 rate, 13.044000 seconds, 448 images
 8: 4473.939453, 4456.462402 avg loss, 0.000000 rate, 12.904000 seconds, 512 images
 9: 4483.744141, 4459.190430 avg loss, 0.000000 rate, 13.090000 seconds, 576 images
 10: 4443.953125, 4457.666504 avg loss, 0.000000 rate, 13.107000 seconds, 640 images
 11: 1473.405029, 4159.240234 avg loss, 0.000000 rate, 4.842000 seconds, 704 images
 12: 1475.810791, 3890.897217 avg loss, 0.000000 rate, 4.858000 seconds, 768 images
 13: 1485.082520, 3650.315674 avg loss, 0.000000 rate, 4.858000 seconds, 832 images
 14: 1486.347046, 3433.918701 avg loss, 0.000000 rate, 4.827000 seconds, 896 images
 15: 1472.409302, 3237.767822 avg loss, 0.000000 rate, 4.858000 seconds, 960 images
 16: 1482.728516, 3062.263916 avg loss, 0.000000 rate, 4.952000 seconds, 1024 images
 17: 1477.915649, 2903.829102 avg loss, 0.000000 rate, 4.952000 seconds, 1088 images
 18: 1486.013916, 2762.047607 avg loss, 0.000000 rate, 5.046000 seconds, 1152 images
 19: 1477.260376, 2633.568848 avg loss, 0.000000 rate, 4.827000 seconds, 1216 images
 20: 1492.027588, 2519.414795 avg loss, 0.000000 rate, 4.874000 seconds, 1280 images
 21: 2798.960938, 2547.369385 avg loss, 0.000000 rate, 8.295000 seconds, 1344 images
 22: 2766.598389, 2569.292236 avg loss, 0.000000 rate, 8.248000 seconds, 1408 images
 23: 2757.537598, 2588.116699 avg loss, 0.000000 rate, 8.233000 seconds, 1472 images
 24: 2761.444336, 2605.449463 avg loss, 0.000000 rate, 8.264000 seconds, 1536 images
